제목,말머리,내용,글쓴이,추천수,조회수,날짜,링크,내용_분류,내용_score_여성/가족,내용_score_남성,내용_score_성소수자,내용_score_인종/국적,내용_score_연령,내용_score_지역,내용_score_종교,내용_score_기타 혐오,내용_score_악플/욕설,내용_score_clean,내용_score_장애
내고추빨사람,,함 대줄게,"김*훈(180.81) 2024.04.12 10:15:23
조회 224 추천 0 댓글 0",추천 0,조회 224,2024.04.12 10:15:23,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=18&page=1,기타 혐오,0.4161185026168823,0.39857184886932373,0.4790637791156769,0.4840526878833771,0.3560812771320343,0.5337384939193726,0.4084554612636566,0.6442337036132812,0.4544515311717987,0.3922831416130066,0.4605582654476166
고추빨고싶다,,.,"신ㄱ(106.101) 2024.04.12 10:13:21
조회 184 추천 4 댓글 0",추천 4,조회 184,2024.04.12 10:13:21,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=17&page=1,악플/욕설,0.35673508048057556,0.3979053795337677,0.40159446001052856,0.4907401502132416,0.37811100482940674,0.5764537453651428,0.4777958393096924,0.531827986240387,0.5917767286300659,0.37655624747276306,0.47965601086616516
ㅆㅂㅋㅋㅋㅋㅋㅋㅋ있노,,,"결혼할거라고 2024.03.03 20:06:24
조회 199 추천 0 댓글 0",추천 0,조회 199,2024.03.03 20:06:24,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=12&page=1,여성/가족,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
한기대 소개합니다,,한기대 추천합니다,"서갤러(119.67) 2024.02.25 18:56:47
조회 179 추천 0 댓글 0",추천 0,조회 179,2024.02.25 18:56:47,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=11&page=1,기타 혐오,0.40145939588546753,0.40543895959854126,0.4833429455757141,0.4899206757545471,0.3330816626548767,0.597821831703186,0.4433528184890747,0.6548572182655334,0.5073511600494385,0.38102319836616516,0.4676641523838043
나 순자다,,ㅂㅈ 가렵네 ㅋㅋ 누가 쑤셔줄사람 ㅋㅋㅋ,"순자(222.236) 2023.08.09 07:04:49
조회 278 추천 0 댓글 0",추천 0,조회 278,2023.08.09 07:04:49,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=9&page=1,기타 혐오,0.37190577387809753,0.47306329011917114,0.4333323836326599,0.4328821301460266,0.3564957082271576,0.5598105788230896,0.43633052706718445,0.5941757559776306,0.46008679270744324,0.40128278732299805,0.4434758424758911
응니애미,,ㅋ,"ㅇㅇ(222.236) 2023.08.09 07:02:27
조회 225 추천 0 댓글 0",추천 0,조회 225,2023.08.09 07:02:27,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=7&page=1,지역,0.34312883019447327,0.43451064825057983,0.4087126851081848,0.48458945751190186,0.3828342854976654,0.5658635497093201,0.4697667956352234,0.5554920434951782,0.5617620348930359,0.3382687568664551,0.48033714294433594
기숙사에인터넷,,보안망이슈때문에 기숙사 랜선못쓰니까 학교에서 터지는 wi_cne_class_S 확장시켜서 쓰면 그거학생망이니까 괜찮은거맞겠지 뭐,"Wi-Fi 2023.07.05 22:49:58
조회 477 추천 0 댓글 0",추천 0,조회 477,2023.07.05 22:49:58,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=6&page=1,성소수자,0.3863125145435333,0.4331822097301483,0.5894457697868347,0.4823721647262573,0.3316687345504761,0.4488880932331085,0.3405313193798065,0.5584855675697327,0.5211601853370667,0.46598687767982483,0.41039031744003296
자동으로 개추가 눌리는 짤,,ㄴㅁㅊ,"ㅇㅇ(39.7) 2023.07.03 09:03:14
조회 518 추천 16 댓글 2",추천 16,조회 518,2023.07.03 09:03:14,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=5&page=1,기타 혐오,0.3559248447418213,0.3658507764339447,0.3443765342235565,0.48653578758239746,0.3851199150085449,0.558899998664856,0.5044642686843872,0.5649300813674927,0.5548543334007263,0.3927139639854431,0.4906294643878937
서천고 1학년 수준,,수준,"진로(39.7) 2023.06.27 12:00:22
조회 710 추천 1 댓글 3",추천 1,조회 710,2023.06.27 12:00:22,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=4&page=1,기타 혐오,0.3872056007385254,0.4233941435813904,0.37454336881637573,0.5129857063293457,0.3620157241821289,0.5794770121574402,0.4973430633544922,0.6066719889640808,0.5779918432235718,0.3488685190677643,0.5390065908432007
이제,,여기로 1학년 안오냐?,"Alpha_Alf_Layla 2023.06.27 11:35:48
조회 262 추천 0 댓글 1",추천 0,조회 262,2023.06.27 11:35:48,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=3&page=1,기타 혐오,0.35848763585090637,0.4083976745605469,0.4794751703739166,0.5134685635566711,0.34937432408332825,0.6128000020980835,0.45167970657348633,0.6203191876411438,0.55106121301651,0.3593645691871643,0.4158085286617279
나 서고 교장인데,,서여고 학생 맛있겠노,"이병준(223.39) 2023.06.27 10:02:11
조회 640 추천 9 댓글 3",추천 9,조회 640,2023.06.27 10:02:11,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=2&page=1,지역,0.38685956597328186,0.4292033612728119,0.4593946933746338,0.5159680247306824,0.37941795587539673,0.6239660978317261,0.4535706639289856,0.6074182987213135,0.49422287940979004,0.34774982929229736,0.5188108682632446
서천고 갤러리 시작,,자유,"서천고(175.203) 2023.06.27 00:04:37
조회 480 추천 0 댓글 2",추천 0,조회 480,2023.06.27 00:04:37,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=1&page=1,기타 혐오,0.35836929082870483,0.461270809173584,0.38841965794563293,0.4868839979171753,0.3789466321468353,0.5785468816757202,0.41111743450164795,0.6061955690383911,0.5190301537513733,0.3327754735946655,0.4959900379180908
