제목,말머리,내용,글쓴이,추천수,조회수,날짜,링크,내용_분류,내용_score_여성/가족,내용_score_남성,내용_score_성소수자,내용_score_인종/국적,내용_score_연령,내용_score_지역,내용_score_종교,내용_score_기타 혐오,내용_score_악플/욕설,내용_score_clean,내용_score_장애
수성고 24년도 설대 몇명 보냈나요?,,"24년 수원 일반계 고등학교에서 설대 간 인원 아는 학교는 3곳뿐임

창현고 8명
영복여고 5명
동원고 3명


번외)수원외고가 9명

수성은 몇명보냄?","ㅇㅇ(221.163) 2024.10.14 22:32:44
조회 813 추천 1 댓글 2",추천 1,조회 813,2024.10.14 22:32:44,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=93&page=1,기타 혐오,0.3844713866710663,0.33005812764167786,0.5880776643753052,0.46187323331832886,0.38378217816352844,0.508904218673706,0.3502236008644104,0.6161216497421265,0.47923532128334045,0.44868794083595276,0.47267991304397583
수성고 딥페 상황 보고할수있도록.,,본인은 믿을만한 인물이니 편하게 말하도록.,"ㅇㅇ(160.238) 2024.08.26 21:37:56
조회 951 추천 0 댓글 0",추천 0,조회 951,2024.08.26 21:37:56,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=92&page=1,기타 혐오,0.40623533725738525,0.41763773560523987,0.5214324593544006,0.51668781042099,0.32466620206832886,0.5273584723472595,0.3881304860115051,0.6149598360061646,0.43024173378944397,0.4260365962982178,0.40975865721702576
2024 수성고 정리,,"06:평균 상위권 잘하는 애들 ㅈㄴ잘함 많지는 않아 12등급 경쟁 심하지 않음
07:병신많음 상위권이 ㅈㄴ많아 123경쟁 치열함
08:그냥 병신 천국 상위권부터 하위권까지 수준 떨어짐 근데 모고 백분위는 괜찮게 나옴 08년생 자체가 병신

선생피셜","수갤러(116.127) 2024.08.23 20:25:06
조회 1235 추천 3 댓글 6",추천 3,조회 1235,2024.08.23 20:25:06,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=91&page=1,성소수자,0.41433462500572205,0.40023520588874817,0.5727982521057129,0.45627522468566895,0.3459213078022003,0.4081520140171051,0.3528147339820862,0.5340924859046936,0.5504177808761597,0.45478010177612305,0.47530075907707214
전학생없냐?,,뭐 걍 학교 좆노잼이네 2학기땐 전학생오던 사건터지던 뭐좀 했으면,"ㅇㅇ(61.83) 2024.07.21 17:34:06
조회 329 추천 0 댓글 1",추천 0,조회 329,2024.07.21 17:34:06,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=90&page=1,악플/욕설,0.3843150734901428,0.4915817081928253,0.5493631362915039,0.4333438575267792,0.2838433086872101,0.45882442593574524,0.30464842915534973,0.5297513604164124,0.5987865328788757,0.4469076097011566,0.3640076816082001
동원고 도대체 뭔일이냐?,,진짜냐 구라냐 어떤게이는 진짜라고 하고 다른게이는 아니라고 하는데 나는 모르겠다,"ㅇㅇ(182.228) 2024.04.15 23:36:06
조회 927 추천 0 댓글 0",추천 0,조회 927,2024.04.15 23:36:06,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=89&page=1,기타 혐오,0.3992187976837158,0.4210066497325897,0.5496398210525513,0.5590965151786804,0.36847004294395447,0.5911415219306946,0.44891759753227234,0.6354153156280518,0.4353468418121338,0.44482946395874023,0.4410110116004944
정중하게 동원고갤 방문 부탁한다 사건터졌다,,"동원갤 와서 이 사건 좀 공롱화해주길 바란다.


우리의 영원한 라이벌이자 친구 수붕이들


이 사건 묻히면 안된다 생각한다","욱욱웅(61.39) 2024.04.15 23:04:38
조회 846 추천 0 댓글 1",추천 0,조회 846,2024.04.15 23:04:38,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=88&page=1,기타 혐오,0.358254998922348,0.5423121452331543,0.5049730539321899,0.45442819595336914,0.3175356686115265,0.6290194392204285,0.4207102060317993,0.6428900361061096,0.5203328728675842,0.453926146030426,0.4084741771221161
3모 나보다 잘 본 고1 수붕이 나와,,국수영-212,"동붕이(61.39) 2024.03.28 20:26:14
조회 669 추천 2 댓글 6",추천 2,조회 669,2024.03.28 20:26:14,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=87&page=1,지역,0.362502783536911,0.49556586146354675,0.45401731133461,0.42715534567832947,0.33903011679649353,0.6177682876586914,0.4577755033969879,0.5830758213996887,0.548966646194458,0.3432982265949249,0.5133987069129944
지금부터 여기는 동원고 갤러리다,,꼬우면 맞짱뜨자,"동붕이(61.39) 2024.03.24 14:43:42
조회 489 추천 3 댓글 6",추천 3,조회 489,2024.03.24 14:43:42,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=86&page=1,지역,0.5391586422920227,0.47007980942726135,0.47965338826179504,0.5442358255386353,0.4491163492202759,0.6222255825996399,0.4483233094215393,0.5796439051628113,0.4948403537273407,0.41242921352386475,0.5568771958351135
지금부터 여기는 대평고 갤러리다,,꼬우면 맞짱뜨자,"수갤러(211.114) 2024.03.05 13:17:20
조회 500 추천 3 댓글 0",추천 3,조회 500,2024.03.05 13:17:20,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=84&page=1,지역,0.5391586422920227,0.47007980942726135,0.47965338826179504,0.5442358255386353,0.4491163492202759,0.6222255825996399,0.4483233094215393,0.5796439051628113,0.4948403537273407,0.41242921352386475,0.5568771958351135
수성고 야자아직도 필수인가요?,,야자필수인걸로 알아서 지원했는데 맞는지 확인부탁드립니다,"수갤러(116.41) 2024.01.21 01:28:39
조회 510 추천 0 댓글 4",추천 0,조회 510,2024.01.21 01:28:39,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=83&page=1,지역,0.3930240571498871,0.38249436020851135,0.4813857078552246,0.5039033889770508,0.4132741093635559,0.5903404355049133,0.4077540338039398,0.5637370944023132,0.5138531923294067,0.4808256924152374,0.5081371068954468
