제목,말머리,내용,글쓴이,추천수,조회수,날짜,링크,내용_분류,내용_score_여성/가족,내용_score_남성,내용_score_성소수자,내용_score_인종/국적,내용_score_연령,내용_score_지역,내용_score_종교,내용_score_기타 혐오,내용_score_악플/욕설,내용_score_clean,내용_score_장애
고닉 한명 저격함,,"ㅇㅇ
- dc official App","후지와라서기쟝 2024.09.27 14:40:10
조회 108 추천 0 댓글 0",추천 0,조회 108,2024.09.27 14:40:10,https://gall.dcinside.com/mini/board/view/?id=tndnjswjdqh&no=19&page=1,기타 혐오,0.3672894835472107,0.4207731783390045,0.4653831720352173,0.4547061324119568,0.3306339383125305,0.5702176094055176,0.4457489252090454,0.5864444971084595,0.4717593193054199,0.37966424226760864,0.4481160640716553
안녕하십니까 여러분들의 전기 동반자,,"여러분들중 2/3은 결혼을 하지 못하고, 2~3명 정도만 차를 몰 수 있습니다. 이 나약한 새끼들아","이인범 2024.09.15 11:13:40
조회 82 추천 1 댓글 1",추천 1,조회 82,2024.09.15 11:13:40,https://gall.dcinside.com/mini/board/view/?id=tndnjswjdqh&no=14&page=1,기타 혐오,0.4005941152572632,0.4027014672756195,0.5520560145378113,0.4742652177810669,0.33956053853034973,0.5707634687423706,0.36736753582954407,0.6344704627990723,0.5294787883758545,0.45956042408943176,0.40226027369499207
대문 추천받음,,"ㅇㅇ
- dc official App","후지와라서기쟝 2024.09.12 16:37:30
조회 68 추천 0 댓글 2",추천 0,조회 68,2024.09.12 16:37:30,https://gall.dcinside.com/mini/board/view/?id=tndnjswjdqh&no=11&page=1,기타 혐오,0.3672894835472107,0.4207731783390045,0.4653831720352173,0.4547061324119568,0.3306339383125305,0.5702176094055176,0.4457489252090454,0.5864444971084595,0.4717593193054199,0.37966424226760864,0.4481160640716553
제 아내임,,"선플만 달아주세요
- dc official App","후지와라서기쟝 2024.09.12 14:57:57
조회 102 추천 1 댓글 1",추천 1,조회 102,2024.09.12 14:57:57,https://gall.dcinside.com/mini/board/view/?id=tndnjswjdqh&no=10&page=1,기타 혐오,0.36615321040153503,0.4044512212276459,0.4922723174095154,0.47229713201522827,0.32597288489341736,0.6008657217025757,0.42189255356788635,0.6209220886230469,0.4590325653553009,0.4111224412918091,0.39821478724479675
안녕하세요,,3트,"우리와함께 2023.09.30 00:26:49
조회 51 추천 0 댓글 0",추천 0,조회 51,2023.09.30 00:26:49,https://gall.dcinside.com/mini/board/view/?id=tndnjswjdqh&no=4&page=1,지역,0.3679015338420868,0.4634285271167755,0.44725149869918823,0.473211407661438,0.39828360080718994,0.6069933772087097,0.48180097341537476,0.5294408202171326,0.5284948348999023,0.3507002890110016,0.5200667977333069
안녕하세요,,반갑읍니다,"우리와함께 2023.09.08 20:23:52
조회 68 추천 0 댓글 2",추천 0,조회 68,2023.09.08 20:23:52,https://gall.dcinside.com/mini/board/view/?id=tndnjswjdqh&no=3&page=1,기타 혐오,0.4015033543109894,0.4313421845436096,0.4515073299407959,0.45729607343673706,0.3118151128292084,0.5819728374481201,0.46472468972206116,0.6254758834838867,0.5105698108673096,0.32575562596321106,0.45883163809776306
안녕하세요,,,"우리와함께 2023.09.01 19:32:49
조회 115 추천 1 댓글 2",추천 1,조회 115,2023.09.01 19:32:49,https://gall.dcinside.com/mini/board/view/?id=tndnjswjdqh&no=2&page=1,여성/가족,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
반갑노,,개추 주십쇼,"후지와라서기쟝 2023.09.01 19:31:23
조회 133 추천 5 댓글 1",추천 5,조회 133,2023.09.01 19:31:23,https://gall.dcinside.com/mini/board/view/?id=tndnjswjdqh&no=1&page=1,기타 혐오,0.3776528537273407,0.49188634753227234,0.47487619519233704,0.4663483500480652,0.356280654668808,0.6358014345169067,0.45304614305496216,0.6413655281066895,0.47608262300491333,0.4144229292869568,0.5522507429122925
수원정보과학고,,"등학교
- dc official App","내가아니면누가해 2025.08.02 13:38:25
조회 16 추천 0 댓글 0",추천 0,조회 16,2025.08.02 13:38:25,https://gall.dcinside.com/mini/board/view/?id=tndnjswjdqh&no=47&page=1,기타 혐오,0.36040952801704407,0.3655177056789398,0.5550960302352905,0.4463110864162445,0.31150105595588684,0.5169761180877686,0.34632205963134766,0.5972300171852112,0.48881790041923523,0.410782128572464,0.4275076389312744
수원정보과학고 갤러리 만든 사람 찾는다,,수정고 갤 만든 애 누군지 알고싶다.,"ㄱㄱㄱㄱ(211.114) 2025.07.15 14:28:56
조회 44 추천 0 댓글 3",추천 0,조회 44,2025.07.15 14:28:56,https://gall.dcinside.com/mini/board/view/?id=tndnjswjdqh&no=46&page=1,기타 혐오,0.3871625065803528,0.46632879972457886,0.5572896003723145,0.48962581157684326,0.31780457496643066,0.4726583957672119,0.3137442469596863,0.577030599117279,0.5518374443054199,0.46516701579093933,0.38273775577545166
