페이지,게시글번호,말머리,제목,내용,글쓴이,추천수,조회수,날짜,링크
3,2823,,실시간 물건 훔쳐 ㅈ된거 같은 웅붕이면 개추ㅋㅋ,자수해라 게이야ㅋㅋ,"명갤러(218.154) 2023.09.10 10:28:35
스크랩 조회 703 추천 12 댓글 3",12,703,2023.09.10 10:28:35,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2823&page=3
3,2822,,이제 ㄹㅇ 샤따 내릴 때가 온건가,"슬프너
- dc official App","예상왕김예상 2023.09.05 03:37:49
스크랩 조회 305 추천 0 댓글 1",0,305,2023.09.05 03:37:49,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2822&page=3
3,2819,,리-젠,"뒤졌죠 아얘
- dc official App","예상왕김예상 2023.07.28 00:34:26
스크랩 조회 141 추천 0 댓글 0",0,141,2023.07.28 00:34:26,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2819&page=3
3,2818,,방학,내일 방학이네 너무좋고,"ㅇㅇ(182.31) 2023.07.18 23:13:33
스크랩 조회 113 추천 0 댓글 0",0,113,2023.07.18 23:13:33,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2818&page=3
3,2816,,반갑노 게이들아,반갑노 게이들아,"4반짱(211.251) 2023.07.14 15:40:27
스크랩 조회 259 추천 0 댓글 1",0,259,2023.07.14 15:40:27,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2816&page=3
3,2815,,ㅇㅇ,.,"ㅇㅇ(211.251) 2023.07.14 15:37:27
스크랩 조회 99 추천 0 댓글 0",0,99,2023.07.14 15:37:27,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2815&page=3
3,2814,,이글 본 사람은 1학년 4반으로 온나,ㅈㄱㄴ,"ㅇㅇ(211.251) 2023.07.10 09:37:28
스크랩 조회 354 추천 3 댓글 5",3,354,2023.07.10 09:37:28,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2814&page=3
3,2813,,기말고사...,기말고사 3일 남았는데 어카노...,"ㅇㅇ(182.31) 2023.06.25 14:39:48
스크랩 조회 218 추천 2 댓글 2",2,218,2023.06.25 14:39:48,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2813&page=3
4,2812,,컴퓨터실,컴퓨터실 지리네 ㄹㅇ,"ㅇㅇ(211.251) 2023.06.19 14:14:49
스크랩 조회 186 추천 2 댓글 1",2,186,2023.06.19 14:14:49,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2812&page=4
4,2811,,체단실 시설 ㅈ구리네,ㅈㄱㄴ,"ㅇㅇ(211.251) 2023.06.14 09:59:25
스크랩 조회 546 추천 10 댓글 2",10,546,2023.06.14 09:59:25,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2811&page=4
4,2810,,명신고 대장 ㅈ밥 아님?,깔깔,"ㅇ(14.6) 2023.06.13 22:17:49
스크랩 조회 273 추천 2 댓글 0",2,273,2023.06.13 22:17:49,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2810&page=4
4,2808,,명신고라...,수준..참,"ㅇ(14.6) 2023.04.30 13:54:19
스크랩 조회 271 추천 4 댓글 1",4,271,2023.04.30 13:54:19,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2808&page=4
4,2807,,담 넘어서 카페 쪽에서 담배피는새기들아,걸리면 바로 경찰 부른다 각오해라,"ㅇ(49.170) 2023.04.28 19:04:44
스크랩 조회 636 추천 11 댓글 2",11,636,2023.04.28 19:04:44,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2807&page=4
