페이지,게시글번호,말머리,제목,내용,글쓴이,추천수,조회수,날짜,링크
11,1344,,인권위에 진정함 해볼까?,인권침해사유에 들어가니 진정할만할것 같은데,ㄴㄱㅁ (223.38) 2023.04.12 15:21:22 스크랩 조회 976 추천 23 댓글 2,23,976,2023.04.12 15:21:22,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1344&page=11
11,1343,,슬슬 “폭동” 마려우면 개추,ㅋㅋ,ㅇㅇ (223.38) 2023.04.12 07:33:04 스크랩 조회 1090 추천 37 댓글 2,37,1090,2023.04.12 07:33:04,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1343&page=11
11,1342,,졸업생인데,이제 핸드폰까지 걷음?ㅋㅋㅋ - dc official App,skskd (49.174) 2023.04.12 02:05:18 스크랩 조회 559 추천 14 댓글 0,14,559,2023.04.12 02:05:18,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1342&page=11
11,1340,,수업 들을만한 선생 있냐,난 일단 정철,ㅇ (39.7) 2023.04.11 21:07:10 스크랩 조회 1109 추천 18 댓글 2,18,1109,2023.04.11 21:07:10,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1340&page=11
11,1338,,공기계 맨날 제출하고있어도 되냐?,하루당 상점 1점이면 매일 상점받는거잖아,ㅇㅇ (118.235) 2023.04.11 14:19:40 스크랩 조회 289 추천 4 댓글 0,4,289,2023.04.11 14:19:40,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1338&page=11
11,1337,,군대에서도 안걷는 폰을 내야하다니,역시 중산교도소 였군,ㅇㅇ (1.227) 2023.04.11 00:19:59 스크랩 조회 331 추천 9 댓글 0,9,331,2023.04.11 00:19:59,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1337&page=11
11,1336,,폰 걷는거,ㅈ같으면 개추ㅋㅋㅋ - dc official App,ㅇㅇ (59.9) 2023.04.10 22:38:41 스크랩 조회 611 추천 35 댓글 0,35,611,2023.04.10 22:38:41,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1336&page=11
11,1335,,중산 작년 등급컷 어디서 확인함?,기출푸는데 궁금해서,ㅇㅇ (112.217) 2023.04.10 20:48:00 스크랩 조회 579 추천 1 댓글 1,1,579,2023.04.10 20:48:00,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1335&page=11
11,1334,,학교 ㅈ같다,토요일에 시발 학원가야되는데 체육대회하고 ㅈㄹ이야 학교에서 공부를 방해하네 ㅈ같네 6평준비해야되는데 핸드폰 걷어서 인권침해하는거랑 자습도못해 꼬우면 자퇴하던가 이러고,ㅇㅇ (118.235) 2023.04.10 14:32:04 스크랩 조회 596 추천 21 댓글 0,21,596,2023.04.10 14:32:04,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1334&page=11
11,1332,,시대인재 나경원 목요반,강의실 옮긴지 꽤 됐음 아트박스 건물에서 농협관으로 바꼈는데 건물이 더 후진데로 옮겨짐 ㅆㅂ,ddw (58.230) 2023.04.09 16:12:19 스크랩 조회 729 추천 0 댓글 0,0,729,2023.04.09 16:12:19,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1332&page=11
11,1330,,좆산 후드티좀 안입으면 안됨?,길거리에서 보일때마다 ㅈㄴ 드롭킥 마렵노ㅋㅋㅋ - dc official App,skskd (106.101) 2023.04.05 16:48:58 스크랩 조회 1265 추천 27 댓글 5,27,1265,2023.04.05 16:48:58,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1330&page=11
11,1329,,개새끼,전 ㅈㅂㅎ 현 ㅈㅅㅇ 맨날 디씨질 이제 보기도 싫네 병신련,00 (223.62) 2023.04.04 10:23:34 스크랩 조회 416 추천 4 댓글 0,4,416,2023.04.04 10:23:34,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1329&page=11
11,1328,,담주부터 폰걷음?,일단 난 안낸다 - dc official App,ㅇㅇ (1.233) 2023.04.02 01:11:09 스크랩 조회 364 추천 11 댓글 0,11,364,2023.04.02 01:11:09,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1328&page=11
11,1327,,죠스,근데 죠스는 ㄴㄱ임? - dc official App,ㅇㅇ (124.49) 2023.04.01 11:23:30 스크랩 조회 253 추천 0 댓글 0,0,253,2023.04.01 11:23:30,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1327&page=11
11,1326,,박형석 어떰?,박형석 어떤가? 동어리 공연예술관람부인데 선생님 어떠냐? 안좋냐?,ㄴㄱㅁ (223.38) 2023.03.28 09:18:10 스크랩 조회 735 추천 2 댓글 3,2,735,2023.03.28 09:18:10,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1326&page=11
11,1325,,동아리 역사 지리 탐방 고른 게이 없냐?,당구랑 바꾸고싶으면 말해라 - dc official App,ㅇㅇ (118.235) 2023.03.28 08:30:32 스크랩 조회 249 추천 0 댓글 0,0,249,2023.03.28 08:30:32,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1325&page=11
11,1324,,동아리 이거,몇명 남았는지는 왜 안알려줌? 뭐 이유라도 있는거임? - dc official App,ㅇㅇ (58.225) 2023.03.27 23:38:08 스크랩 조회 226 추천 0 댓글 0,0,226,2023.03.27 23:38:08,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1324&page=11
11,1323,,"1,2학년들 동아리 할거없으면",박물관 탐방이나 해라ㅇㅇ 3학년인데 쌤이 진짜 좋으심 - dc official App,ㅇㅇ (1.235) 2023.03.27 22:09:47 스크랩 조회 520 추천 9 댓글 0,9,520,2023.03.27 22:09:47,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1323&page=11
11,1322,,천안함,용사들 잊지 않겠습니다.,ㅇㅇ (106.101) 2023.03.27 12:22:59 스크랩 조회 392 추천 15 댓글 0,15,392,2023.03.27 12:22:59,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1322&page=11
11,1321,,아래 투표 내눈의심한게,진영논리 펼치면서 문재인을 아무리그래도 전두환보다 나쁘게 평가를하냐 민주화운동 학살한 독재자인데,ㅇㅇ (117.111) 2023.03.26 20:01:02 스크랩 조회 291 추천 0 댓글 0,0,291,2023.03.26 20:01:02,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1321&page=11
11,1319,,이 학교가 그 학교임?,애들이 수학만 ㅈㄴ잘한다는? - dc official App,ㅇㅇ (124.49) 2023.03.25 19:40:37 스크랩 조회 963 추천 15 댓글 3,15,963,2023.03.25 19:40:37,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1319&page=11
11,1318,,중산에 왤케 모솔많노?,공부만 하고 사회성떨어져서그렇노? - dc official App,skskd (49.174) 2023.03.24 08:42:27 스크랩 조회 659 추천 5 댓글 1,5,659,2023.03.24 08:42:27,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1318&page=11
11,1317,,2학년에 ㅅ발 디씨충,찔리면 너고 ㅋ 폰잘받아간다,ㅇㅇ (211.174) 2023.03.24 00:54:11 스크랩 조회 585 추천 8 댓글 0,8,585,2023.03.24 00:54:11,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1317&page=11
11,1316,,아,이런 - dc official App,ㅇㅇ (221.142) 2023.03.23 17:07:02 스크랩 조회 178 추천 1 댓글 0,1,178,2023.03.23 17:07:02,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1316&page=11
11,1315,,이좆같은학교의꼰대선생들,씨발 국어푸는데 돌아다니면서 풀고있는거는 왜쳐보는거냐? ㄹㅇ 3초동안 쳐다보고 다음 애도 쳐다보고 ㅋㅋ - dc official App,ㅇㅇ (221.138) 2023.03.23 16:57:54 스크랩 조회 989 추천 13 댓글 3,13,989,2023.03.23 16:57:54,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1315&page=11
11,1314,,정법 하는 게이 업냐,게이 아니어도 됨 ㅇㅇ,ㅇㅇ (211.219) 2023.03.22 23:02:00 스크랩 조회 257 추천 0 댓글 0,0,257,2023.03.22 23:02:00,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1314&page=11
11,1313,,1학년 담임들,괜찮냐 2학년은 왜이럼,ㅇㅇ (39.118) 2023.03.22 22:11:59 스크랩 조회 1104 추천 9 댓글 6,9,1104,2023.03.22 22:11:59,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1313&page=11
11,1312,,19년도 졸업생인데,중산은 여전하구나 후배들아 고생이 많다 다들 파이팅이다 + 산적 머혁 지금도 있어??,ㅇㅇ (119.67) 2023.03.22 00:11:33 스크랩 조회 594 추천 4 댓글 1,4,594,2023.03.22 00:11:33,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1312&page=11
11,1310,,05년생들 화이팅!!,https://cafe.naver.com/05document 공부기록_05 : 네이버 카페 공부기록_05 : 네이버 카페 cafe.naver.com,ㅇㅇ (221.140) 2023.03.19 23:28:14 스크랩 조회 308 추천 0 댓글 0,0,308,2023.03.19 23:28:14,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1310&page=11
11,1309,,시12발 와파 비번 또 바꼇네,허구한날 처 바꾸네 - dc official App,ㅇㅇ (106.101) 2023.03.18 23:48:52 스크랩 조회 354 추천 0 댓글 1,0,354,2023.03.18 23:48:52,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1309&page=11
11,1308,,와이파이 비번,아니 ㅅㅂ 와이파이 비번 구걸하는 새끼들 왤케 많노 중산갤 선생들이 가끔 방문해서 여기에 비번 글 올리면 와이파이 비번 금방 바뀌는데 - dc official App,ㅇㅇ (169.197) 2023.03.18 21:15:57 스크랩 조회 412 추천 8 댓글 0,8,412,2023.03.18 21:15:57,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1308&page=11
11,1306,,김종준쌤,저희 담임이 김종준쌤인데 시험 어렵나요 - dc official App,ㅇㅇ (211.36) 2023.03.18 17:43:54 스크랩 조회 680 추천 6 댓글 3,6,680,2023.03.18 17:43:54,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1306&page=11
11,1305,,교실에서 지역비하하는 새끼들은,대학가면 애들 전국에서 모일텐데 가선 정신차려야지?,ㅇㅇ (106.101) 2023.03.17 22:53:05 스크랩 조회 433 추천 2 댓글 2,2,433,2023.03.17 22:53:05,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1305&page=11
11,1303,,중산 대선배님들,제발 와이파이.비번좀 공유해주십쇼 - dc official App,ㅇㅇ (211.36) 2023.03.17 12:47:22 스크랩 조회 489 추천 0 댓글 1,0,489,2023.03.17 12:47:22,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1303&page=11
11,1302,,스크롤하다 보니깐 개웃기네ㅋㅋ,https://m.dcinside.com/mini/jungsanhigh/1217?headid=&recommend=&s_type=subject_m&serval=%EC%A2%8C%ED%8C%8C%EC%83%88%EB%81%BC 갤 망했네 ㅋㅋ - 중산고등학교 미니 갤러리 좌파새끼들이 슬슬 머리를 들이밀고 씹창났네 아주 m.dcinside.com 문재인을 무려 전두환 노태우 다음이라고까지 깔정도면 오히려 우파에 가까운가 아님?ㅋㅋ,ㅇㅇ (106.101) 2023.03.17 00:51:50 스크랩 조회 284 추천 0 댓글 0,0,284,2023.03.17 00:51:50,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1302&page=11
11,1301,,전두환 손자 폭로한거,역대 최악대통령이었던 할아버지랑 아버지가 온갖 만행저지른거 손자라도 정상이라 다행이네,ㅇㅇ (106.101) 2023.03.16 20:08:53 스크랩 조회 471 추천 2 댓글 4,2,471,2023.03.16 20:08:53,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1301&page=11
11,1300,,중산 와이파이,알려주세요.비번 - dc official App,ㅇㅇ (211.36) 2023.03.16 09:13:04 스크랩 조회 276 추천 0 댓글 0,0,276,2023.03.16 09:13:04,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1300&page=11
11,1299,,아래 물2 물1에 도움되냐고 한 친구야,되니까 학교 물2 수업들어,ㅇㅇ (122.34) 2023.03.16 00:22:31 스크랩 조회 250 추천 2 댓글 0,2,250,2023.03.16 00:22:31,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1299&page=11
11,1298,,산적,진짜 ㄹㅇ쓰래기임 ot했을때에는 괜찮다 생각했는데 첫수업하니깐 본성드러냄 고소 ㄱ?,ㄴㄱㅁ (223.38) 2023.03.15 13:21:19 스크랩 조회 1578 추천 28 댓글 2,28,1578,2023.03.15 13:21:19,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1298&page=11
11,1296,,시대인재 목 나경원반,있음?,ㄴㄱㅁ (58.231) 2023.03.14 16:28:27 스크랩 조회 597 추천 1 댓글 2,1,597,2023.03.14 16:28:27,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1296&page=11
11,1295,,중산고 와이파이,비번돔 알려주셈,ㄴㄱㅁ (223.38) 2023.03.14 16:13:22 스크랩 조회 433 추천 0 댓글 1,0,433,2023.03.14 16:13:22,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1295&page=11
11,1294,,시발 진짜 머리좀 감고 다녀라,냄새 ㅈㄴ 난다 - dc official App,ㅇㅇ (106.101) 2023.03.13 17:54:25 스크랩 조회 1023 추천 18 댓글 2,18,1023,2023.03.13 17:54:25,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1294&page=11
11,1293,,중산고 선생 티어,S급- 김종준 미만 잡 - dc official App,ㅇㅇ (223.38) 2023.03.12 03:19:40 스크랩 조회 2118 추천 36 댓글 3,36,2118,2023.03.12 03:19:40,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1293&page=11
11,1292,,이지영 사문 듣는 중산고 학생,왜이렇게 급발진많냐 풀악셀 그만 밟아라… - dc official App,웅앵힝 2023.03.11 18:15:19 스크랩 조회 378 추천 1 댓글 0,1,378,2023.03.11 18:15:19,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1292&page=11
11,1291,,올해 축제하냐?,스케일 크게해서 여고도 초대하면 좋겠다 는 중산 - dc official App,ㅇㅇ (1.233) 2023.03.11 00:55:14 스크랩 조회 312 추천 2 댓글 1,2,312,2023.03.11 00:55:14,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1291&page=11
11,1290,,주식상태가 병신이다,삼전을 82층서 매수 현재 60층대임 네이버250층매수 현재 210대 존버? 탈출 어떻게하누,ㅌㄴㅊ (58.231) 2023.03.10 22:57:43 스크랩 조회 305 추천 0 댓글 4,0,305,2023.03.10 22:57:43,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1290&page=11
11,1289,,Wbc볼까 공부할까,한일전인데,ㅇㅇ (106.101) 2023.03.10 13:54:50 스크랩 조회 251 추천 0 댓글 4,0,251,2023.03.10 13:54:50,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1289&page=11
12,1288,,지금시대 태어난거 감사한게,전두환때 살기좋았다고 많이들 착각하는데 군대에선 구타 가혹행위 비인간적으로 시키고 학교에선 준비물숙제 안해오거나 지각해도 귀싸대기맞고 반성적 떨어지면 단체로 무릎꿇고 얻어맞고 사고좀치면 멍들때까지 몽둥이 오지게 맞는거 생각하면 우리가 운좋은 세대긴함. 스마트폰은 커녕 휴대폰도 아예 없었던 후진국이었는데 성평등도 없었고 걍 권위적이었던거 생각하면 우리가 복받은 세대임.,ㅇㅇ (27.174) 2023.03.10 13:26:52 스크랩 조회 264 추천 3 댓글 0,3,264,2023.03.10 13:26:52,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1288&page=12
12,1285,,3반 담임이,산적임 근데 점심시간에도 자습시킴 나는 운이 좋다 해야하나,ddw (58.231) 2023.03.09 22:21:16 스크랩 조회 562 추천 5 댓글 0,5,562,2023.03.09 22:21:16,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1285&page=12
12,1284,,산적,산적 어제 ot했는데 일단은 선생님과 문제생기면 죄송합니다 하고 넘어가라고 했음 ㅈㄴ 찔려서 그런가?,ㅁ너ㅏㅇ (58.231) 2023.03.09 22:16:27 스크랩 조회 589 추천 4 댓글 0,4,589,2023.03.09 22:16:27,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1284&page=12
12,1283,,물2가 물1에 도움되냐?,임대혁이 수업 들으라는데,ㅇㅇ (118.235) 2023.03.09 10:51:04 스크랩 조회 312 추천 8 댓글 2,8,312,2023.03.09 10:51:04,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1283&page=12
12,1282,,요즘 교사 심정도 이해는 가는게,옛날같으면 빠따 몽둥이로 오지게 맞거나 얼차려 받을일들임ㅇㅇ,ㅇㅇ (122.34) 2023.03.09 10:33:53 스크랩 조회 659 추천 0 댓글 2,0,659,2023.03.09 10:33:53,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1282&page=12
12,1281,,애키우는게 헬수준으로 어려운거 생각하면,군입대하는거랑 비교하는건 주부들한테 개실례인듯,ㅇㅇ (106.101) 2023.03.07 18:08:34 스크랩 조회 249 추천 0 댓글 0,0,249,2023.03.07 18:08:34,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1281&page=12
12,1280,,ㅅㅂ 저새끼는 3년동안 머리를 안감고 다니네,안답답하나 - dc official App,ㅇㅇ (39.7) 2023.03.07 16:33:08 스크랩 조회 463 추천 0 댓글 0,0,463,2023.03.07 16:33:08,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1280&page=12
12,1279,,예전에 중국 수학여행가서 사건이 있었다함,일단 중국가서 공안들한테 뭔짓했다하는데 뭔일이 있었음?,ㄴㄱㅁ (223.38) 2023.03.07 15:15:28 스크랩 조회 634 추천 3 댓글 4,3,634,2023.03.07 15:15:28,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1279&page=12
12,1277,,독서 동아리 들어가면 학원숙제ㄱㄴ?,자거나,ㅇㅇ (222.232) 2023.03.05 01:04:21 스크랩 조회 220 추천 0 댓글 0,0,220,2023.03.05 01:04:21,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1277&page=12
12,1276,,하루 늦게 됐지만,숭고한 3.1운동 정신 잊지 않겠습니다.,ㅇㅇ (106.101) 2023.03.02 23:18:17 스크랩 조회 304 추천 5 댓글 0,5,304,2023.03.02 23:18:17,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1276&page=12
12,1275,,피해야할 선생님 리스트,알려주셈 ㅇㅇ,져ㅕㅈ (58.230) 2023.03.02 12:59:42 스크랩 조회 3271 추천 110 댓글 22,110,3271,2023.03.02 12:59:42,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1275&page=12
12,1274,,김정욱 어떰?,신입생인데 어떤가 싶어서,져ㅕㅈ (58.230) 2023.03.02 12:38:16 스크랩 조회 591 추천 4 댓글 1,4,591,2023.03.02 12:38:16,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1274&page=12
12,1273,,오늘 입학 축하영상,도티랑 조나단이 축하해주는 중산! - dc official App,ㅇㅇ 2023.03.02 11:48:49 스크랩 조회 461 추천 7 댓글 0,7,461,2023.03.02 11:48:49,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1273&page=12
12,1271,,임대혁시간에 자습하는 팁좀,물2임대혁걸림,ㅇㅇ (110.70) 2023.03.02 09:33:58 스크랩 조회 580 추천 21 댓글 3,21,580,2023.03.02 09:33:58,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1271&page=12
12,1268,,왜 2학년 3학년 같이먹는걸로 바뀌냐,ㅈ같네 - dc official App,ㅇㅇ (221.138) 2023.02.28 14:53:38 스크랩 조회 564 추천 9 댓글 3,9,564,2023.02.28 14:53:38,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1268&page=12
12,1267,,반에 게이있노,아 - dc official App,ㅇㅇ 2023.02.26 00:44:24 스크랩 조회 450 추천 0 댓글 1,0,450,2023.02.26 00:44:24,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1267&page=12
12,1266,,무단 조퇴 100번해도 퇴학 막 그런건 없지?,,ㅇㅇ (116.39) 2023.02.22 09:34:26 스크랩 조회 268 추천 0 댓글 0,0,268,2023.02.22 09:34:26,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1266&page=12
12,1265,,05들 개학 언제냐,고3 ㅊㅊ 화이팅,ㅇㅇ (118.235) 2023.02.21 07:06:11 스크랩 조회 187 추천 0 댓글 0,0,187,2023.02.21 07:06:11,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1265&page=12
12,1264,,갤 제대로 망했네ㅋㅋ,전두환을 문재인보다 높게 평가하질않나 일베충들이 머리를 들이미네,ㅇㅇ (183.98) 2023.02.19 16:12:01 스크랩 조회 309 추천 0 댓글 0,0,309,2023.02.19 16:12:01,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=1264&page=12
