제목,말머리,내용,글쓴이,추천수,조회수,날짜,링크,내용_score_여성/가족,내용_score_남성,내용_score_성소수자,내용_score_인종/국적,내용_score_연령,내용_score_지역,내용_score_종교,내용_score_기타 혐오,내용_score_악플/욕설,내용_score_clean,내용_score_장애
갈뫼중 역사상 최고 GOAT,,"https://youtube.com/v/BGpzDoKupoM?si=5SFDHSy59n9rXpCY
 JS music
체육시간 활용 높은 음악 4*8카운트 총 5개BPM 115멋진 체육수업되세요!
youtube.com

이 브금을 들으면 심장이 다시 뜁니다..
그립읍니다.. GOAT.","백갤러(212.102) 2024.09.15 20:48:55
조회 213 추천 5 댓글 0",추천 5,조회 213,2024.09.15 20:48:55,https://gall.dcinside.com/mini/board/view/?id=phsfanclub&no=233&page=1,0.014941602945327759,0.00808689184486866,0.014292879961431026,0.01681281067430973,0.009580325335264206,0.006866056472063065,0.012030820362269878,0.008349163457751274,0.05895164608955383,0.9093525409698486,0.00750241382047534
나 권순존데,,다 싸지까자 싸워서 다 이길 자신있다 첫번째 상대로 김나경 부른다,"백갤러(182.225) 2024.08.10 22:16:34
조회 108 추천 0 댓글 1",추천 0,조회 108,2024.08.10 22:16:34,https://gall.dcinside.com/mini/board/view/?id=phsfanclub&no=232&page=1,0.032738372683525085,0.013864404521882534,0.008230039849877357,0.009269765578210354,0.005344525910913944,0.004436911083757877,0.006064982619136572,0.008126695640385151,0.14520005881786346,0.7719552516937256,0.004584264475852251
나 강준서인데,,개학하면 서열 정리 한다,"백갤러(182.225) 2024.08.10 22:11:00
조회 96 추천 0 댓글 0",추천 0,조회 96,2024.08.10 22:11:00,https://gall.dcinside.com/mini/board/view/?id=phsfanclub&no=231&page=1,0.015681186690926552,0.010513922199606895,0.011692029424011707,0.018067635595798492,0.013684270903468132,0.009922529570758343,0.01727246679365635,0.008768236264586449,0.033386874943971634,0.9369956254959106,0.008918807841837406
나 파란정수인데,,필요한 새끼들 연락해라 무한으로 채워준다,"백갤러(182.225) 2024.08.10 22:10:13
조회 65 추천 1 댓글 1",추천 1,조회 65,2024.08.10 22:10:13,https://gall.dcinside.com/mini/board/view/?id=phsfanclub&no=230&page=1,0.010960874147713184,0.00726474029943347,0.007886397652328014,0.011164462193846703,0.009039878845214844,0.006192738190293312,0.009435879066586494,0.008445847779512405,0.10635580122470856,0.8466859459877014,0.006055200006812811
ㅇ,,ㅇ,"백갤러(211.36) 2024.08.07 19:08:22
조회 30 추천 0 댓글 0",추천 0,조회 30,2024.08.07 19:08:22,https://gall.dcinside.com/mini/board/view/?id=phsfanclub&no=229&page=1,0.018850790336728096,0.011037461459636688,0.012619136832654476,0.01994955912232399,0.014095226302742958,0.010468464344739914,0.018832579255104065,0.009365822188556194,0.03137337043881416,0.9443227648735046,0.010108663700520992
ㅇ,,ㅇ,"백갤러(117.111) 2024.08.07 19:07:56
조회 14 추천 0 댓글 0",추천 0,조회 14,2024.08.07 19:07:56,https://gall.dcinside.com/mini/board/view/?id=phsfanclub&no=228&page=1,0.018850790336728096,0.011037461459636688,0.012619136832654476,0.01994955912232399,0.014095226302742958,0.010468464344739914,0.018832579255104065,0.009365822188556194,0.03137337043881416,0.9443227648735046,0.010108663700520992
민호 까불랑재끼네,,함 잡힐래,"백갤러(211.36) 2024.07.20 08:55:52
조회 98 추천 0 댓글 1",추천 0,조회 98,2024.07.20 08:55:52,https://gall.dcinside.com/mini/board/view/?id=phsfanclub&no=227&page=1,0.013441722840070724,0.008747827261686325,0.009715103544294834,0.01002793200314045,0.009322745725512505,0.00620338786393404,0.010280273854732513,0.0076768118888139725,0.08330751210451126,0.8850482106208801,0.006201595067977905
나 민혼데,,나 잡는 새끼 전재산 35만원 준다 니네 빽 다부르고 덤벼 진짜 신고 안할테니까 대신 나도 빽부른다,"백갤러(182.225) 2024.07.19 15:30:27
조회 58 추천 0 댓글 0",추천 0,조회 58,2024.07.19 15:30:27,https://gall.dcinside.com/mini/board/view/?id=phsfanclub&no=226&page=1,0.021169960498809814,0.007408113218843937,0.008067748509347439,0.0070917257107794285,0.006744254846125841,0.004703268874436617,0.0073580206371843815,0.012600808404386044,0.38420847058296204,0.613012969493866,0.0049944231286644936
음민혼데,,추가로 내여자 내가 지킨다 백운 커플 조심해라 곧 너네 나때문에 깨진다,"백갤러(182.225) 2024.07.19 15:23:32
조회 135 추천 0 댓글 0",추천 0,조회 135,2024.07.19 15:23:32,https://gall.dcinside.com/mini/board/view/?id=phsfanclub&no=225&page=1,0.6271814107894897,0.038452498614788055,0.01604243367910385,0.01150632556527853,0.010267856530845165,0.005062296520918608,0.005106636323034763,0.017122391611337662,0.18870972096920013,0.20906488597393036,0.006940176244825125
1학년대장,,나 1학년 대장 음민혼데 최근에 픽시 뺏겻거든 예민하니까 건들지마라 건들면 학폭 빤다,"백갤러(182.225) 2024.07.19 15:18:07
조회 158 추천 0 댓글 4",추천 0,조회 158,2024.07.19 15:18:07,https://gall.dcinside.com/mini/board/view/?id=phsfanclub&no=224&page=1,0.021275702863931656,0.0066299764439463615,0.010635843500494957,0.013193635269999504,0.008526882156729698,0.005355909466743469,0.009291519410908222,0.008627734147012234,0.07717602699995041,0.8844279646873474,0.005902573931962252
