제목,말머리,내용,글쓴이,추천수,조회수,날짜,링크,내용_score_여성/가족,내용_score_남성,내용_score_성소수자,내용_score_인종/국적,내용_score_연령,내용_score_지역,내용_score_종교,내용_score_기타 혐오,내용_score_악플/욕설,내용_score_clean,내용_score_장애
동동고 편하노,,"바뀐뒤로 일상이 궁금하다 게이야
- dc official App","동갤러(125.178) 2025.04.05 01:48:00
조회 79 추천 0 댓글 0",추천 0,조회 79,2025.04.05 01:48:00,https://gall.dcinside.com/mgallery/board/view/?id=dwgirlshighschool&no=120&page=1,0.010578925721347332,0.006225855555385351,0.04040725901722908,0.009685041382908821,0.007428925018757582,0.005392254795879126,0.008596853353083134,0.008919831365346909,0.1789136528968811,0.7742490768432617,0.006625279784202576
..,,..,"ㅇㅇ(175.118) 2024.09.13 16:55:29
조회 199 추천 0 댓글 1",추천 0,조회 199,2024.09.13 16:55:29,https://gall.dcinside.com/mgallery/board/view/?id=dwgirlshighschool&no=118&page=1,0.01704217866063118,0.010831071063876152,0.01268888171762228,0.01782488077878952,0.01316321361809969,0.009971041232347488,0.017656121402978897,0.0090562142431736,0.03546392172574997,0.9407474398612976,0.009642241522669792
1지망에 동우 쓰면 떨어지나요,,ㅈㄱㄴ,"동갤러(118.220) 2024.01.31 17:53:49
조회 428 추천 0 댓글 3",추천 0,조회 428,2024.01.31 17:53:49,https://gall.dcinside.com/mgallery/board/view/?id=dwgirlshighschool&no=116&page=1,0.015288252383470535,0.0078034596517682076,0.007240530103445053,0.010706281289458275,0.00846381951123476,0.0058243172243237495,0.008594240993261337,0.007808264810591936,0.11756285279989243,0.8577133417129517,0.005800685845315456
우민여고,,우민우민우민우민우민,"동갤러(14.5) 2023.11.08 22:47:45
조회 260 추천 0 댓글 1",추천 0,조회 260,2023.11.08 22:47:45,https://gall.dcinside.com/mgallery/board/view/?id=dwgirlshighschool&no=115&page=1,0.01701006479561329,0.011785793118178844,0.010620896704494953,0.027394307777285576,0.013115696609020233,0.011413587257266045,0.016996389254927635,0.00977674126625061,0.028590692207217216,0.9398967027664185,0.009325867518782616
